_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs/0,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture,userInputs/0/userID,userInputs/1/WhPerMile,userInputs/1/kWhRequested,userInputs/1/milesRequested,userInputs/1/minutesAvailable,userInputs/1/modifiedAt,userInputs/1/paymentRequired,userInputs/1/requestedDeparture,userInputs/1/userID,userInputs/2/WhPerMile,userInputs/2/kWhRequested,userInputs/2/milesRequested,userInputs/2/minutesAvailable,userInputs/2/modifiedAt,userInputs/2/paymentRequired,userInputs/2/requestedDeparture,userInputs/2/userID,userInputs/3/WhPerMile,userInputs/3/kWhRequested,userInputs/3/milesRequested,userInputs/3/minutesAvailable,userInputs/3/modifiedAt,userInputs/3/paymentRequired,userInputs/3/requestedDeparture,userInputs/3/userID,userInputs/4/WhPerMile,userInputs/4/kWhRequested,userInputs/4/milesRequested,userInputs/4/minutesAvailable,userInputs/4/modifiedAt,userInputs/4/paymentRequired,userInputs/4/requestedDeparture,userInputs/4/userID,userInputs/5/WhPerMile,userInputs/5/kWhRequested,userInputs/5/milesRequested,userInputs/5/minutesAvailable,userInputs/5/modifiedAt,userInputs/5/paymentRequired,userInputs/5/requestedDeparture,userInputs/5/userID,userInputs/6/WhPerMile,userInputs/6/kWhRequested,userInputs/6/milesRequested,userInputs/6/minutesAvailable,userInputs/6/modifiedAt,userInputs/6/paymentRequired,userInputs/6/requestedDeparture,userInputs/6/userID
5dd1f41ef9af8b2deaac58c8,0102,"Fri, 01 Nov 2019 14:13:26 GMT","Fri, 01 Nov 2019 23:22:07 GMT","Fri, 01 Nov 2019 16:11:42 GMT",12.26,19_102_260_1635_2019-11-01 14:13:25.539059,0019,01,19-102-260-1635,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f41ef9af8b2deaac58c9,0102,"Fri, 01 Nov 2019 14:24:29 GMT","Fri, 01 Nov 2019 22:20:20 GMT","Fri, 01 Nov 2019 20:56:55 GMT",34.153,19_102_260_1633_2019-11-01 14:24:29.364122,0019,02,19-102-260-1633,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f41ef9af8b2deaac58ca,0102,"Fri, 01 Nov 2019 15:10:38 GMT","Fri, 01 Nov 2019 20:19:04 GMT","Fri, 01 Nov 2019 17:06:29 GMT",5.844,19_102_260_1634_2019-11-01 15:10:38.255284,0019,03,19-102-260-1634,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f41ef9af8b2deaac58cb,0102,"Fri, 01 Nov 2019 16:48:06 GMT","Fri, 01 Nov 2019 18:28:35 GMT","Fri, 01 Nov 2019 18:28:27 GMT",10.801,19_102_260_1637_2019-11-01 16:48:06.200767,0019,07,19-102-260-1637,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f41ef9af8b2deaac58cc,0102,"Fri, 01 Nov 2019 17:25:03 GMT","Fri, 01 Nov 2019 19:12:45 GMT","Fri, 01 Nov 2019 19:12:41 GMT",5.703,19_102_260_1640_2019-11-01 17:25:02.756655,0019,08,19-102-260-1640,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f41ef9af8b2deaac58cd,0102,"Fri, 01 Nov 2019 20:23:22 GMT","Sat, 02 Nov 2019 04:02:39 GMT","Sat, 02 Nov 2019 04:02:30 GMT",24.876,19_102_260_1640_2019-11-01 20:23:21.631277,0019,08,19-102-260-1640,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd49720f9af8b358eb1483e,0102,"Mon, 04 Nov 2019 15:49:08 GMT","Mon, 04 Nov 2019 20:41:12 GMT","Mon, 04 Nov 2019 17:39:04 GMT",5.371,19_102_260_1633_2019-11-04 15:49:08.163075,0019,02,19-102-260-1633,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd49720f9af8b358eb1483f,0102,"Mon, 04 Nov 2019 16:21:40 GMT","Tue, 05 Nov 2019 00:49:38 GMT","Tue, 05 Nov 2019 00:49:34 GMT",43.608,19_102_260_1634_2019-11-04 16:21:40.233387,0019,03,19-102-260-1634,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd49720f9af8b358eb14840,0102,"Mon, 04 Nov 2019 16:32:04 GMT","Tue, 05 Nov 2019 00:35:43 GMT","Mon, 04 Nov 2019 19:03:30 GMT",5.82,19_102_260_1640_2019-11-04 16:32:03.539339,0019,08,19-102-260-1640,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd49720f9af8b358eb14841,0102,"Mon, 04 Nov 2019 16:41:01 GMT","Mon, 04 Nov 2019 19:42:33 GMT","Mon, 04 Nov 2019 17:45:10 GMT",5.851,19_102_260_1635_2019-11-04 16:41:00.781860,0019,01,19-102-260-1635,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
